HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Deck,CabinNumber,Side,IDCode#1,IDCode#2,1stName,Surname,Spent
Europa,No,TRAPPIST-1e,39,No,0,0,0,0,0,No,B,0,P,1,1,Maham,Ofracculy,0
Earth,No,TRAPPIST-1e,24,No,109,9,25,549,44,Yes,F,0,S,2,1,Juanna,Vines,736
Europa,No,TRAPPIST-1e,58,Yes,43,3576,0,6715,49,No,A,0,S,3,1,Altark,Susent,10383
Europa,No,TRAPPIST-1e,33,No,0,1283,371,3329,193,No,A,0,S,3,2,Solam,Susent,5176
Earth,No,TRAPPIST-1e,16,No,303,70,151,565,2,Yes,F,1,S,4,1,Willy,Santantines,1091
Earth,No,PSO J318.5-22,44,No,0,483,0,291,0,Yes,F,0,P,5,1,Sandie,Hinetthews,774
Earth,No,TRAPPIST-1e,26,No,42,1539,3,0,0,Yes,F,2,S,6,1,Billex,Jacostaffey,1584
Earth,Yes,TRAPPIST-1e,28,No,0,0,0,0,0,Yes,G,0,S,6,2,Candra,Jacostaffey,0
Earth,No,TRAPPIST-1e,35,No,0,785,17,216,0,Yes,F,3,S,7,1,Andona,Beston,1018
Europa,Yes,55 Cancri e,14,No,0,0,0,0,0,Yes,B,1,P,8,1,Erraiam,Flatic,0
Europa,Yes,TRAPPIST-1e,34,No,0,0,0,0,0,Yes,B,1,P,8,2,Altardr,Flatic,0
Europa,No,55 Cancri e,45,No,39,7295,589,110,124,Yes,B,1,P,8,3,Wezena,Flatic,8157
Mars,No,TRAPPIST-1e,32,No,73,0,1123,0,113,Yes,F,1,P,9,1,Berers,Barne,1309
Earth,No,TRAPPIST-1e,48,No,719,1,65,0,24,No,G,1,S,10,1,Reney,Baketton,809
Earth,No,TRAPPIST-1e,28,No,8,974,12,2,7,Yes,F,2,P,11,1,Elle,Bertsontry,1003
Earth,No,TRAPPIST-1e,31,No,32,0,876,0,0,No,,,,12,1,Justie,Pooles,908
Mars,No,55 Cancri e,27,No,1286,122,,0,0,No,F,3,P,14,1,Flats,Eccle,1408
Earth,No,55 Cancri e,24,No,0,1,0,0,637,No,F,4,P,15,1,Carry,Hughriend,638
Mars,Yes,TRAPPIST-1e,45,No,0,0,0,0,0,Yes,F,5,P,16,1,Alus,Upead,0
Earth,No,TRAPPIST-1e,0,No,0,0,0,0,0,Yes,G,0,P,17,1,Lyde,Brighttt,0
Earth,No,55 Cancri e,14,No,412,0,1,0,679,No,F,6,P,17,2,Philda,Brighttt,1092
Earth,Yes,TRAPPIST-1e,1,No,0,0,0,0,0,No,E,0,S,20,1,Almary,Brantuarez,0
Earth,Yes,55 Cancri e,49,No,0,0,0,0,0,No,E,0,S,20,2,Glendy,Brantuarez,0
Earth,Yes,55 Cancri e,29,No,0,0,0,0,0,No,E,0,S,20,3,Mollen,Mcfaddennon,0
Earth,No,TRAPPIST-1e,10,No,0,0,0,0,0,Yes,E,0,S,20,4,Breney,Jacostanley,0
Earth,Yes,PSO J318.5-22,1,No,0,0,0,0,0,No,E,0,S,20,5,Mael,Brantuarez,0
Earth,No,TRAPPIST-1e,7,No,0,0,0,0,0,No,E,0,S,20,6,Terta,Mcfaddennon,0
Mars,No,TRAPPIST-1e,21,No,980,2,69,0,0,No,D,0,P,22,1,nan,nan,1051
Europa,Yes,TRAPPIST-1e,62,No,0,0,0,0,0,Yes,C,2,S,24,1,Penton,Fullided,0
Earth,No,TRAPPIST-1e,15,No,0,225,0,998,0,No,F,6,S,25,1,Karard,Brookenson,1223
Europa,No,55 Cancri e,34,No,22,6073,0,1438,328,No,C,0,P,26,1,Anyoni,Unconary,7861
Mars,No,TRAPPIST-1e,43,No,1125,0,136,48,0,No,F,8,P,28,1,Ceros,Mare,1309
Earth,No,TRAPPIST-1e,32,No,0,850,81,437,453,No,G,4,S,30,1,Ginia,Morsentley,1821
Mars,No,TRAPPIST-1e,47,No,214,0,1411,0,1229,Yes,F,9,P,31,1,Coobix,Datie,2854
Mars,No,TRAPPIST-1e,2,No,0,0,0,0,0,Yes,F,9,P,31,2,Cinets,Datie,0
Mars,No,TRAPPIST-1e,20,No,,0,1750,990,0,Yes,F,9,P,31,3,Dontch,Datie,2740
Europa,Yes,55 Cancri e,28,No,0,0,0,0,0,Yes,D,1,S,34,1,Ziba,Oingwhedly,0
Mars,No,55 Cancri e,23,No,784,964,0,951,0,No,D,1,P,35,1,Luse,Butte,2699
Earth,No,55 Cancri e,15,,0,492,48,20,401,No,F,8,S,36,1,Marina,Leodger,961
Earth,No,55 Cancri e,20,No,554,195,0,2606,0,No,F,10,S,38,1,Loise,Wheelez,3355
Earth,Yes,55 Cancri e,30,No,0,0,0,0,0,No,G,1,P,39,1,Jorgie,Batthewitt,0
Earth,Yes,TRAPPIST-1e,17,No,0,0,0,0,0,Yes,G,2,P,41,1,Margia,Moodsey,0
Europa,No,TRAPPIST-1e,45,No,0,164,45,2511,855,No,B,3,P,43,1,Ankalik,Cylistrand,3575
Earth,Yes,TRAPPIST-1e,55,No,0,0,0,0,0,No,G,3,P,44,1,Jodye,Coopelandez,0
Earth,Yes,55 Cancri e,4,No,0,0,0,0,0,Yes,G,3,P,44,2,Kayne,Coopelandez,0
Earth,Yes,PSO J318.5-22,21,No,0,0,0,0,0,Yes,G,3,P,44,3,Cassa,Coopelandez,0
Mars,No,TRAPPIST-1e,21,No,970,0,180,0,64,No,F,10,P,45,1,Zelowl,Chmad,1214
Mars,Yes,TRAPPIST-1e,19,No,0,0,0,0,0,Yes,F,10,P,45,2,Mass,Chmad,0
Earth,No,55 Cancri e,35,No,790,0,0,,0,No,E,1,S,50,1,Sony,Lancis,790
Earth,No,TRAPPIST-1e,56,No,0,112,0,1379,127,No,E,2,S,51,1,Vivia,Johnshines,1618
Earth,No,TRAPPIST-1e,,No,4,0,2,4683,0,No,G,6,S,52,1,Elaney,Hubbarton,4689
Earth,No,TRAPPIST-1e,25,No,0,0,1938,0,1,Yes,F,11,S,53,1,Elson,Hickerson,1939
Europa,No,TRAPPIST-1e,2,No,0,0,0,0,0,Yes,A,1,S,56,1,Okulas,Tractive,0
Europa,Yes,TRAPPIST-1e,38,No,0,0,0,0,0,Yes,A,1,S,56,2,Instab,Tractive,0
Europa,No,TRAPPIST-1e,27,No,279,605,3374,286,3,Yes,A,1,S,56,3,Zinoces,Tractive,4547
Earth,Yes,PSO J318.5-22,36,No,0,0,0,0,0,No,G,7,S,58,1,Warry,Ayalazquez,0
Earth,No,TRAPPIST-1e,22,No,45,1096,148,1377,1,No,F,12,S,61,1,Shanya,Salez,2667
Earth,No,TRAPPIST-1e,62,No,0,592,0,17,25,No,F,13,S,62,1,Sterry,Greeves,634
Mars,Yes,TRAPPIST-1e,15,No,0,0,0,0,0,Yes,F,14,S,64,1,nan,nan,0
Mars,Yes,TRAPPIST-1e,33,No,0,0,0,0,0,Yes,E,3,S,64,2,Colatz,Keen,0
Earth,No,TRAPPIST-1e,62,No,1,153,197,0,460,No,G,6,P,66,1,Diandy,Pecketton,811
Earth,Yes,PSO J318.5-22,0,No,0,0,0,0,0,Yes,G,10,S,67,1,Ninaha,Leeves,0
Earth,No,TRAPPIST-1e,18,No,1,258,446,0,0,Yes,G,10,S,67,2,Celine,Leeves,705
Earth,No,55 Cancri e,21,No,1946,37,0,0,24,No,F,15,S,67,3,Velyne,Leeves,2007
Mars,No,TRAPPIST-1e,,No,793,0,2,253,0,No,E,4,S,68,1,Cinst,Binie,1048
Earth,No,TRAPPIST-1e,42,No,887,0,9,6,0,Yes,F,16,S,69,1,nan,nan,902
Earth,No,TRAPPIST-1e,19,No,190,0,5,1,726,No,F,13,P,70,1,Meremy,Brighttt,922
Earth,No,TRAPPIST-1e,17,No,16,2165,0,0,52,No,F,14,P,71,1,Nelly,Dillines,2233
Earth,No,TRAPPIST-1e,14,No,0,1,0,0,1063,No,F,17,S,72,1,Thell,Brantuarez,1064
Mars,No,PSO J318.5-22,37,No,46,83,738,0,12,No,D,3,P,73,1,Gorn,Make,879
Europa,No,TRAPPIST-1e,42,No,1,8397,0,0,506,Yes,C,3,S,74,1,Aldibah,Mostedry,8904
Mars,No,TRAPPIST-1e,27,No,147,0,1018,0,0,Yes,F,18,S,76,1,Conk,Dal,1165
Mars,No,TRAPPIST-1e,28,No,14,0,1295,0,0,Yes,F,15,P,77,1,Pon,Blité,1309
Europa,No,TRAPPIST-1e,38,No,0,5840,0,321,9654,No,C,4,S,78,1,Spuri,Pokerheed,15815
Earth,Yes,TRAPPIST-1e,13,No,0,0,0,0,0,No,G,13,S,81,1,Dellie,Vinozarks,0
Mars,No,TRAPPIST-1e,42,No,7406,0,0,0,0,No,F,16,P,82,1,Totse,Datte,7406
Mars,Yes,TRAPPIST-1e,2,No,0,0,0,0,0,Yes,F,16,P,82,2,Eaturs,Datte,0
Mars,No,TRAPPIST-1e,8,No,0,0,0,0,0,Yes,F,16,P,82,3,nan,nan,0
Earth,No,TRAPPIST-1e,24,No,688,0,0,0,17,Yes,G,14,S,84,1,Coren,Coopezmaney,705
Europa,Yes,TRAPPIST-1e,40,No,0,0,0,0,0,Yes,C,5,S,85,1,Furudah,Ellcefulve,0
Earth,No,TRAPPIST-1e,43,No,211,0,0,638,513,No,F,17,P,86,1,Jodye,Kinson,1362
Mars,Yes,PSO J318.5-22,45,No,0,0,0,0,0,Yes,E,5,S,88,1,Stmeal,Sacre,0
Earth,Yes,TRAPPIST-1e,35,No,0,0,0,0,0,Yes,G,15,S,90,1,Heremy,Santry,0
Earth,Yes,TRAPPIST-1e,26,No,0,0,0,0,0,Yes,G,16,S,91,1,Deanne,Yorkland,0
Earth,No,TRAPPIST-1e,27,No,1,697,31,188,0,No,F,20,S,91,2,Tinez,Yorkland,917
Earth,No,TRAPPIST-1e,19,No,0,0,670,1,34,No,G,9,P,92,1,Gracy,Dunnisey,705
Earth,Yes,TRAPPIST-1e,0,No,0,0,0,0,0,Yes,G,9,P,92,2,Stald,Hewson,0
Earth,Yes,TRAPPIST-1e,3,No,0,0,0,0,0,Yes,G,9,P,92,3,Tiney,Hewson,0
Europa,No,TRAPPIST-1e,54,No,0,1208,0,3,637,No,A,2,S,97,1,Alchium,Fictful,1848
Earth,No,TRAPPIST-1e,26,No,0,856,5,32,0,No,G,11,P,98,1,Doria,Carezquez,893
Earth,No,TRAPPIST-1e,26,No,0,2811,957,0,87,Yes,G,11,P,98,2,Leence,Carezquez,3855
Earth,No,PSO J318.5-22,23,No,311,427,526,37,0,No,F,19,P,99,1,Aliey,Leetersoney,1301
Earth,Yes,TRAPPIST-1e,2,No,0,0,0,0,0,Yes,G,12,P,99,2,Thewis,Connelson,0
Mars,Yes,TRAPPIST-1e,31,No,0,0,0,0,0,Yes,,,,101,1,Book,Trad,0
Earth,No,TRAPPIST-1e,18,No,0,0,0,830,91,No,F,23,S,102,1,Ritany,Holson,921
Earth,No,TRAPPIST-1e,24,No,0,,0,0,17,Yes,F,24,S,103,1,Arlen,Mclainez,17
Earth,Yes,55 Cancri e,9,No,0,0,0,0,0,Yes,G,18,S,103,2,Shaele,Mclainez,0
Earth,Yes,TRAPPIST-1e,6,No,0,0,0,0,0,No,G,18,S,103,3,Fanne,Mclainez,0
Earth,No,TRAPPIST-1e,27,No,0,0,570,2,131,No,F,21,P,105,1,Carry,Cleachrand,703
Mars,No,TRAPPIST-1e,21,No,1743,5,17,0,0,No,D,2,S,107,1,Coobix,Hart,1765
Earth,Yes,TRAPPIST-1e,23,No,0,0,0,0,0,No,G,19,S,108,1,Natald,Handertiz,0
Earth,No,TRAPPIST-1e,31,No,562,0,326,0,0,No,G,19,S,108,2,nan,nan,888
Earth,No,TRAPPIST-1e,0,No,0,0,0,0,0,Yes,G,19,S,108,3,Oline,Handertiz,0
Europa,No,TRAPPIST-1e,32,No,0,410,6,3929,764,No,,,,110,1,Graviph,Aloubtled,5109
Europa,No,TRAPPIST-1e,40,No,0,331,0,0,1687,No,B,5,P,110,2,Aldeba,Bootious,2018
Europa,No,TRAPPIST-1e,42,No,2209,11418,0,1868,445,Yes,B,5,P,110,3,Alaratz,Aloubtled,15940
Europa,Yes,TRAPPIST-1e,28,No,0,0,0,0,0,Yes,B,5,P,110,4,Izark,Aloubtled,0
Europa,Yes,TRAPPIST-1e,29,No,0,0,0,0,0,Yes,E,6,S,111,1,Aldera,Supred,0
Europa,No,55 Cancri e,48,Yes,0,2537,87,17,13,Yes,B,1,S,112,1,Moth,Cowtale,2654
Earth,No,TRAPPIST-1e,64,No,0,0,804,0,0,Yes,F,23,P,113,1,Idary,Carvis,804
Earth,No,TRAPPIST-1e,27,No,82,157,429,238,1,No,G,20,S,114,1,Maura,Beckerson,907
Mars,Yes,TRAPPIST-1e,26,No,0,0,0,0,0,Yes,F,24,P,115,1,Rohs,Pead,0
Europa,No,TRAPPIST-1e,33,No,1,2223,0,12,404,Yes,D,4,P,116,1,Alhenah,Suptive,2640
Europa,No,TRAPPIST-1e,39,No,0,2344,0,65,6898,No,A,0,P,119,1,Batan,Coning,9307
Europa,Yes,TRAPPIST-1e,13,No,0,0,0,0,0,Yes,A,0,P,119,2,Kleeiak,Coning,0
Mars,Yes,TRAPPIST-1e,24,No,0,0,0,0,0,Yes,F,25,P,120,1,Bees,Sacre,0
Earth,No,TRAPPIST-1e,29,No,0,0,0,699,74,No,G,21,S,122,1,Shelle,Hayder,773
Earth,No,TRAPPIST-1e,18,No,55,597,49,0,1,No,F,27,P,123,1,Iree,Fielson,702
Mars,Yes,TRAPPIST-1e,67,No,0,0,0,0,0,Yes,F,27,S,126,1,Milly,Mish,0
Mars,No,TRAPPIST-1e,35,No,701,0,296,0,25,No,E,7,S,127,1,Miloss,Mesty,1022
Mars,No,TRAPPIST-1e,61,Yes,2353,334,9,316,2,No,D,3,S,128,1,Grohs,Fles,3014
Mars,No,TRAPPIST-1e,45,No,2103,6,0,0,0,No,E,8,S,128,2,Barave,Fles,2109
Earth,Yes,PSO J318.5-22,22,No,0,0,0,0,0,Yes,G,22,S,129,1,Race,Fowles,0
Mars,Yes,TRAPPIST-1e,19,No,0,0,0,0,0,Yes,F,29,S,133,1,Flynx,Blie,0
Mars,No,TRAPPIST-1e,36,No,2738,0,0,0,0,No,D,5,S,133,2,Egrasp,Blie,2738
Earth,No,TRAPPIST-1e,19,No,0,14,730,0,0,Yes,G,17,P,134,1,Camina,Harmontry,744
Earth,No,PSO J318.5-22,47,No,97,418,126,25,55,No,G,23,S,136,1,nan,nan,721
Earth,Yes,TRAPPIST-1e,13,No,0,0,0,0,0,Yes,G,18,P,138,1,Fayene,Gambs,0
Earth,No,TRAPPIST-1e,34,No,0,22,0,564,207,No,E,5,P,138,2,Monah,Gambs,793
Europa,Yes,55 Cancri e,35,No,0,0,0,0,0,Yes,C,6,S,139,1,Charda,Myling,0
Earth,Yes,TRAPPIST-1e,24,No,0,0,0,0,0,Yes,G,19,P,140,1,Evaley,Mejiaddox,0
Earth,No,TRAPPIST-1e,26,No,440,0,0,0,462,No,F,29,P,140,2,Verney,Whitakers,902
Mars,No,TRAPPIST-1e,31,No,,0,97,0,0,No,F,30,P,141,1,Pyrohs,Harte,97
Earth,No,TRAPPIST-1e,20,No,0,420,210,0,0,Yes,F,31,S,144,1,Guadae,Dayers,630
Earth,No,TRAPPIST-1e,56,No,0,0,0,0,0,No,G,25,S,146,1,Verly,Wolferguson,0
Earth,Yes,TRAPPIST-1e,50,No,0,0,0,0,0,Yes,G,26,S,147,1,Samie,Hubbarrison,0
Mars,No,TRAPPIST-1e,42,No,1072,0,10,0,76,No,F,31,P,148,1,Corsh,Pashe,1158
Earth,Yes,55 Cancri e,,No,0,0,0,0,0,Yes,G,27,S,149,1,Billya,Hubbarrison,0
Earth,Yes,55 Cancri e,38,No,0,0,0,0,0,No,G,20,P,151,1,Shanie,Simson,0
Earth,No,TRAPPIST-1e,41,No,0,0,0,0,607,No,F,32,P,152,1,Andan,Estron,607
